OMNI Hourly Upstream Values
File created on 2013-10-09T16:50:12.081168
YYYY MM DD HH MN SS MSC Bx By Bz Vx Vy Vz Dens Temp


#START
2000 07 15 00 00 00 000      -4.85      -3.20       3.90    -741.50       0.00       0.00      12.90   84889.50
2000 07 15 01 00 00 000      -2.45      -3.20       3.50    -732.00       0.00       0.00      10.80   78059.00
2000 07 15 02 00 00 000      -2.25      -3.75       3.90    -730.00       0.00       0.00       8.25  195517.00
2000 07 15 03 00 00 000      -4.00      -5.05       2.40    -731.00       0.00       0.00       5.05  202609.50
2000 07 15 04 00 00 000      -4.30      -5.35       1.60    -739.50       0.00       0.00       3.80  107862.00
2000 07 15 05 00 00 000      -4.60      -4.30       3.60    -751.50       0.00       0.00       4.80  123213.00
2000 07 15 06 00 00 000      -1.30      -4.65       3.25    -731.50       0.00       0.00       5.80  211772.00
2000 07 15 07 00 00 000       3.70      -5.80      -0.45    -711.50       0.00       0.00       4.55  324477.00
2000 07 15 08 00 00 000       4.40      -4.85      -3.05    -682.50       0.00       0.00       3.50  200766.00
2000 07 15 09 00 00 000       4.50      -4.55      -3.30    -669.00       0.00       0.00       3.35   74028.50
2000 07 15 10 00 00 000       5.50      -4.90      -3.70    -677.50       0.00       0.00       3.15  243898.50
2000 07 15 11 00 00 000       6.70      -3.55      -4.75    -685.50       0.00       0.00       5.75  256752.50
2000 07 15 12 00 00 000       7.60      -1.60      -5.40    -688.50       0.00       0.00       8.30  259536.00
2000 07 15 13 00 00 000       8.00      -0.30      -5.35    -646.50       0.00       0.00      10.20  411253.00
2000 07 15 14 00 00 000       9.95       3.65      -3.80    -738.00       0.00       0.00      16.30  964772.00
2000 07 15 15 00 00 000       8.55       4.95       4.70    -862.00       0.00       0.00      19.15 1209364.50
2000 07 15 16 00 00 000      -4.25       1.95       1.55    -934.00       0.00       0.00      11.65  931440.50
2000 07 15 17 00 00 000      -6.60       1.00      -4.55   -1000.50       0.00       0.00       7.45 1373120.50
2000 07 15 18 00 00 000       1.55       5.00      -0.50    -992.00       0.00       0.00      12.40 1834547.00
2000 07 15 19 00 00 000      -0.25      10.60     -13.10    -996.50       0.00       0.00      17.80 1181049.50
2000 07 15 20 00 00 000      -0.25      11.50     -37.60   -1020.00       0.00       0.00      13.25  330484.00
2000 07 15 21 00 00 000       6.75      25.35     -36.55   -1073.50       0.00       0.00       6.55  158684.50
2000 07 15 22 00 00 000      14.10      40.00     -18.65   -1098.00       0.00       0.00       6.45  125276.00
2000 07 15 23 00 00 000      23.35      37.20     -11.55   -1084.00       0.00       0.00       7.70   75150.00
2000 07 16 00 00 00 000      30.55      34.95      -6.60   -1054.50       0.00       0.00       8.90   73571.50
2000 07 16 01 00 00 000      29.10      37.50       2.30   -1021.00       0.00       0.00       5.10  243378.50
2000 07 16 02 00 00 000      24.70      36.15      13.40    -990.50       0.00       0.00       1.70  224559.50
2000 07 16 03 00 00 000      18.15      33.10      18.45    -959.00       0.00       0.00       1.60   55257.00
2000 07 16 04 00 00 000       9.90      32.95      19.20    -932.00       0.00       0.00       2.35   41537.00
2000 07 16 05 00 00 000       4.10      29.65      23.00    -899.00       0.00       0.00       2.50   27059.50
2000 07 16 06 00 00 000       2.25      23.80      25.70    -862.00       0.00       0.00       1.70   24936.50
2000 07 16 07 00 00 000       1.95      18.40      25.15    -823.50       0.00       0.00       1.40   23613.00
2000 07 16 08 00 00 000       0.30      15.15      23.60    -805.00       0.00       0.00       1.20   20960.50
2000 07 16 09 00 00 000       0.50      11.40      22.55    -809.50       0.00       0.00       0.75   20133.00
2000 07 16 10 00 00 000       1.60       6.55      22.15    -801.00       0.00       0.00       0.70   39168.50
2000 07 16 11 00 00 000       0.70       5.05      20.50    -788.00       0.00       0.00       0.95   79645.50
2000 07 16 12 00 00 000      -0.10       3.50      18.75    -785.00       0.00       0.00       1.70   65612.00
2000 07 16 13 00 00 000      -0.20       0.85      16.10    -776.00       0.00       0.00       2.20  113517.50
2000 07 16 14 00 00 000      -0.90      -0.95      12.75    -777.00       0.00       0.00       1.60  165078.00
2000 07 16 15 00 00 000      -0.75      -2.45      10.30    -776.50       0.00       0.00       0.75  103778.00
2000 07 16 16 00 00 000       1.20      -1.90       8.65    -754.00       0.00       0.00       0.55   58050.50
2000 07 16 17 00 00 000       2.60      -0.70       7.50    -737.00       0.00       0.00       0.65   39304.50
2000 07 16 18 00 00 000       2.70      -1.10       6.50    -739.50       0.00       0.00       0.70   30260.50
2000 07 16 19 00 00 000       3.60      -1.25       4.70    -733.50       0.00       0.00       0.70   27888.00
2000 07 16 20 00 00 000       4.00      -1.75       3.65    -734.00       0.00       0.00       0.60   25850.50
2000 07 16 21 00 00 000       3.50      -2.30       3.85    -739.00       0.00       0.00       0.50   31479.00
2000 07 16 22 00 00 000       3.35      -2.15       3.80    -735.00       0.00       0.00       0.50   52884.00
2000 07 16 23 00 00 000       3.60      -2.20       3.50    -719.50       0.00       0.00       0.55   94468.50
