
 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2019-06-12                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2013-08-01 00:00:00.000 213        -5.00
2013-08-01 01:00:00.000 213        -6.00
2013-08-01 02:00:00.000 213        -6.00
2013-08-01 03:00:00.000 213        -4.00
2013-08-01 04:00:00.000 213        -4.00
2013-08-01 05:00:00.000 213        -5.00
2013-08-01 06:00:00.000 213        -5.00
2013-08-01 07:00:00.000 213        -8.00
2013-08-01 08:00:00.000 213        -9.00
2013-08-01 09:00:00.000 213        -9.00
2013-08-01 10:00:00.000 213        -8.00
2013-08-01 11:00:00.000 213        -7.00
2013-08-01 12:00:00.000 213        -4.00
2013-08-01 13:00:00.000 213        -2.00
2013-08-01 14:00:00.000 213         2.00
2013-08-01 15:00:00.000 213         3.00
2013-08-01 16:00:00.000 213         1.00
2013-08-01 17:00:00.000 213         7.00
2013-08-01 18:00:00.000 213         8.00
2013-08-01 19:00:00.000 213         9.00
2013-08-01 20:00:00.000 213         8.00
2013-08-01 21:00:00.000 213         6.00
2013-08-01 22:00:00.000 213         7.00
2013-08-01 23:00:00.000 213         9.00
2013-08-02 00:00:00.000 214         8.00
2013-08-02 01:00:00.000 214         7.00
2013-08-02 02:00:00.000 214         5.00
2013-08-02 03:00:00.000 214         4.00
2013-08-02 04:00:00.000 214         5.00
2013-08-02 05:00:00.000 214         6.00
2013-08-02 06:00:00.000 214         5.00
2013-08-02 07:00:00.000 214         4.00
2013-08-02 08:00:00.000 214         3.00
2013-08-02 09:00:00.000 214         4.00
2013-08-02 10:00:00.000 214         5.00
2013-08-02 11:00:00.000 214         5.00
2013-08-02 12:00:00.000 214         4.00
2013-08-02 13:00:00.000 214         3.00
2013-08-02 14:00:00.000 214         6.00
2013-08-02 15:00:00.000 214         5.00
2013-08-02 16:00:00.000 214         5.00
2013-08-02 17:00:00.000 214         4.00
2013-08-02 18:00:00.000 214         3.00
2013-08-02 19:00:00.000 214         3.00
2013-08-02 20:00:00.000 214         2.00
2013-08-02 21:00:00.000 214         2.00
2013-08-02 22:00:00.000 214         3.00
2013-08-02 23:00:00.000 214         0.00
2013-08-03 00:00:00.000 215        -2.00
2013-08-03 01:00:00.000 215        -3.00
2013-08-03 02:00:00.000 215        -2.00
2013-08-03 03:00:00.000 215         1.00
2013-08-03 04:00:00.000 215         5.00
2013-08-03 05:00:00.000 215         7.00
2013-08-03 06:00:00.000 215         7.00
2013-08-03 07:00:00.000 215         8.00
2013-08-03 08:00:00.000 215         7.00
2013-08-03 09:00:00.000 215         7.00
2013-08-03 10:00:00.000 215         8.00
2013-08-03 11:00:00.000 215         7.00
2013-08-03 12:00:00.000 215         6.00
2013-08-03 13:00:00.000 215         7.00
2013-08-03 14:00:00.000 215         7.00
2013-08-03 15:00:00.000 215         8.00
2013-08-03 16:00:00.000 215         8.00
2013-08-03 17:00:00.000 215        10.00
2013-08-03 18:00:00.000 215         6.00
2013-08-03 19:00:00.000 215         3.00
2013-08-03 20:00:00.000 215         2.00
2013-08-03 21:00:00.000 215         1.00
2013-08-03 22:00:00.000 215        -2.00
2013-08-03 23:00:00.000 215         4.00
2013-08-04 00:00:00.000 216         7.00
2013-08-04 01:00:00.000 216         4.00
2013-08-04 02:00:00.000 216         3.00
2013-08-04 03:00:00.000 216         6.00
2013-08-04 04:00:00.000 216        12.00
2013-08-04 05:00:00.000 216        18.00
2013-08-04 06:00:00.000 216        19.00
2013-08-04 07:00:00.000 216        12.00
2013-08-04 08:00:00.000 216         5.00
2013-08-04 09:00:00.000 216         3.00
2013-08-04 10:00:00.000 216        11.00
2013-08-04 11:00:00.000 216        12.00
2013-08-04 12:00:00.000 216         8.00
2013-08-04 13:00:00.000 216         9.00
2013-08-04 14:00:00.000 216         8.00
2013-08-04 15:00:00.000 216        14.00
2013-08-04 16:00:00.000 216         3.00
2013-08-04 17:00:00.000 216       -30.00
2013-08-04 18:00:00.000 216       -28.00
2013-08-04 19:00:00.000 216       -28.00
2013-08-04 20:00:00.000 216       -35.00
2013-08-04 21:00:00.000 216       -41.00
2013-08-04 22:00:00.000 216       -46.00
2013-08-04 23:00:00.000 216       -37.00
2013-08-05 00:00:00.000 217       -41.00
2013-08-05 01:00:00.000 217       -49.00
2013-08-05 02:00:00.000 217       -50.00
2013-08-05 03:00:00.000 217       -44.00
2013-08-05 04:00:00.000 217       -45.00
2013-08-05 05:00:00.000 217       -40.00
2013-08-05 06:00:00.000 217       -33.00
2013-08-05 07:00:00.000 217       -33.00
2013-08-05 08:00:00.000 217       -37.00
2013-08-05 09:00:00.000 217       -38.00
2013-08-05 10:00:00.000 217       -34.00
2013-08-05 11:00:00.000 217       -32.00
2013-08-05 12:00:00.000 217       -26.00
2013-08-05 13:00:00.000 217       -24.00
2013-08-05 14:00:00.000 217       -25.00
2013-08-05 15:00:00.000 217       -27.00
2013-08-05 16:00:00.000 217       -28.00
2013-08-05 17:00:00.000 217       -27.00
2013-08-05 18:00:00.000 217       -23.00
2013-08-05 19:00:00.000 217       -22.00
2013-08-05 20:00:00.000 217       -28.00
2013-08-05 21:00:00.000 217       -32.00
2013-08-05 22:00:00.000 217       -34.00
2013-08-05 23:00:00.000 217       -36.00
2013-08-06 00:00:00.000 218       -40.00
2013-08-06 01:00:00.000 218       -39.00
2013-08-06 02:00:00.000 218       -34.00
2013-08-06 03:00:00.000 218       -30.00
2013-08-06 04:00:00.000 218       -28.00
2013-08-06 05:00:00.000 218       -23.00
2013-08-06 06:00:00.000 218       -22.00
2013-08-06 07:00:00.000 218       -22.00
2013-08-06 08:00:00.000 218       -22.00
2013-08-06 09:00:00.000 218       -21.00
